"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"4/11/2016","Digital Federal Des","DIGITAL FEDERAL DES:PEOPLE PAY ID:K BHATT INDN:KALPAN BHATT CO ID:M391165550 WEB","500.00","credit","Transfer","Kalpan Checking","",""
"4/11/2016","BOFA Savings","KEEP THE CHANGE TRANSFER TO ACCT 2431 FOR 04/11/16","0.27","debit","Transfer","Kalpan Checking","",""
"4/10/2016","Amazon.com","AmazonPrime Membership","105.93","debit","Shopping","Freedom Card","",""
"4/10/2016","Travelers Insurance","TRAVELERS PERS INS","27.50","credit","Financial","Freedom Card","",""
"4/08/2016","Transfer from Chase Checking","Payment Thank You-Mobile","83.15","credit","Credit Card Payment","Freedom Card","",""
"4/08/2016","Transfer to Chase Credit","Payment to Chase card ending in9584","83.15","debit","Credit Card Payment","Kalpan Checking","",""
"4/08/2016","Transfer from BOA Checking - Kalpan","PAYMENT","1985.37","credit","Credit Card Payment","Rewards Card","",""
"4/08/2016","Transfer from BOA Checking - Kalpan","PAYMENT","4175.00","credit","Credit Card Payment","Rewards Card","",""
"4/08/2016","BOFA Savings","Online Banking transfer to Sav 2431 Confirmation# 1608637905","794.82","debit","Transfer","Kalpan Checking","",""
"4/08/2016","Transfer to BOA Cash Rewards","BANK OF AMERICA CREDIT CARD Bill Payment","1985.37","debit","Credit Card Payment","Kalpan Checking","",""
"4/08/2016","Transfer to BOA Cash Rewards","BANK OF AMERICA CREDIT CARD Bill Payment","4175.00","debit","Credit Card Payment","Kalpan Checking","",""
"4/08/2016","Transfer to BankAmericard Platinum Plus Visa","BANK OF AMERICA CREDIT CARD Bill Payment","495.00","debit","Credit Card Payment","Kalpan Checking","",""
"4/08/2016","Transfer from BOA Checking - Kalpan","Online Banking transfer from CHK 7360 Confirmation# 1608637905","794.82","credit","Transfer","Kalpan Savings","",""
"4/08/2016","People PC","WITHDRAW 04/07/2016 P2P Payment To: KALPAN BHATT, DCU PEOPLE PAY 220 DONAL LYNC","500.00","debit","Transfer","DCU Checking","",""
"4/08/2016","People PC","WITHDRAW 04/07/2016 P2P Payment To: KALPAN BHATT, DCU PEOPLE PAY 220 DONAL LYNC","499.00","debit","Transfer","DCU Checking","",""
"4/06/2016","Geico","GEICO *AUTO MACON DC","115.40","credit","Auto Insurance","Rewards Card","",""
"4/05/2016","Intervale Gardens Rent","Check 155","1000.00","debit","Mortgage & Rent","Kalpan Checking","",""
"4/04/2016","Jose Tejas","JOSE TEJAS & BORDER CAFE FAIRFIELD NJ","8.00","debit","Restaurants","Rewards Card","",""
"4/04/2016","Fuel One","3440 FUEL ONE PARSIPPANY NJ","28.76","debit","Gas & Fuel","Rewards Card","",""
"4/04/2016","Cups Frozen Yogurt","CUPS FROZEN YOGURT PARSIPPANY NJ","8.47","debit","Fast Food","Rewards Card","",""
"4/04/2016","Jose Tejas","JOSE TEJAS & BORDER CAFE FAIRFIELD NJ","62.00","debit","Restaurants","Rewards Card","",""
"4/04/2016","Delight Big Bazar","DELIGHT BIG BAZAR PARSIPPANY NJ","134.80","debit","Groceries","Rewards Card","",""
"4/04/2016","Subway","SUBWAY 03258274 PARSIPPANY NJ","24.61","debit","Fast Food","Rewards Card","",""
"4/02/2016","Netflix","NETFLIX.COM 866-579-7172 CA","7.99","debit","Movies & DVDs","Rewards Card","",""
"4/01/2016","Progressive","PROGRESSIVE *INSURANCE 800-776-4737 OH","167.00","debit","Auto Insurance","Rewards Card","",""
"4/01/2016","Geico","GEICO *AUTO 800-841-3000 DC","117.72","debit","Auto Insurance","Rewards Card","",""
"4/01/2016","First Energy Corp.","EGS*FIRST ENERGY CORP 800-794-1630 PA","39.41","debit","Utilities","Rewards Card","",""
"3/31/2016","Dividend","DIVIDEND","0.01","credit","Investments","DCU Savings","",""
"3/31/2016","Audi","AUDI OF MENDHAM MENDHAM NJ","3377.19","debit","This month special","Rewards Card","","Down payment"
"3/31/2016","Gap Auto Insurane","FEE GAP INSURANCE $295.00","295.00","debit","This month special","DCU Checking","",""
"3/31/2016","Cognizant Techno Des","COGNIZANT TECHNO DES:DIRECT DEP ID:XXXXX0275956CTS INDN:BHATT,KALPAN K...","140.19","credit","Paycheck","Kalpan Checking","",""
"3/31/2016","Cognizant Techno Des","COGNIZANT TECHNO DES:DIRECT DEP ID:XXXXX0275955CTS INDN:BHATT,KALPAN K...","1716.80","credit","Paycheck","Kalpan Checking","",""
"3/31/2016","Deposit Cognizant Technodirect","DEPOSIT COGNIZANT TECHNODIRECT DEP160331","1000.00","credit","Paycheck","DCU Checking","",""
"3/30/2016","Digital Federal Des","DIGITAL FEDERAL DES:PEOPLE PAY ID:K BHATT INDN:KALPAN BHATT CO ID:M391165550 WEB","499.00","credit","Transfer","Kalpan Checking","",""
"3/30/2016","Digital Federal Des","DIGITAL FEDERAL DES:PEOPLE PAY ID:K BHATT INDN:KALPAN BHATT CO ID:M391165550 WEB","500.00","credit","Transfer","Kalpan Checking","",""
"3/29/2016","Travelers Insurance","TRAVELERS PERS INS","16.00","debit","Home Insurance","Freedom Card","",""
"3/29/2016","People PC","WITHDRAW 03/29/2016 P2P Payment To: KALPAN BHATT, DCU PEOPLE PAY 220 DONAL LYNC","499.00","debit","Transfer","DCU Checking","",""
"3/29/2016","People PC","WITHDRAW 03/29/2016 P2P Payment To: KALPAN BHATT, DCU PEOPLE PAY 220 DONAL LYNC","500.00","debit","Transfer","DCU Checking","",""
"3/28/2016","Chipotle","CHIPOTLE 2394 PARSIPPANY NJ","26.25","debit","Restaurants","Rewards Card","",""
"3/28/2016","Fuel One","3440 FUEL ONE","19.38","debit","Gas & Fuel","Freedom Card","",""
"3/26/2016","Stop & Shop","STOP & SHOP 0893 MORRIS PLAINSNJ","6.98","debit","Groceries","Rewards Card","",""
"3/25/2016","Patel Brothers of Parsippany","PATEL BROTHERS OF PARSIPPANY NJ","25.97","debit","Groceries","Rewards Card","",""
"3/24/2016","ATM Withdrawal","BKOFAMERICA ATM 03/24 #000002252 WITHDRWL PARSIPPANY PARSIPPANY NJ","20.00","debit","Cash & ATM","Kalpan Checking","",""
"3/24/2016","Digital Federal Des","DIGITAL FEDERAL DES:PEOPLE PAY ID:K BHATT INDN:KALPAN BHATT CO ID:M391165550 WEB","500.00","credit","Transfer","Kalpan Checking","",""
"3/24/2016","Digital Federal Des","DIGITAL FEDERAL DES:PEOPLE PAY ID:K BHATT INDN:KALPAN BHATT CO ID:M391165550 WEB","499.00","credit","Transfer","Kalpan Checking","",""
"3/24/2016","Transfer from BOA Checking - Kalpan","KEEPTHECHANGE CREDIT FROM ACCT7360 EFFECTIVE 03/23","0.79","credit","Savings transfer","Kalpan Savings","",""
"3/24/2016","Audi","AUDI OF MENDHAM MENDHAM NJ","1000.00","debit","Auto Payment","Rewards Card","",""
"3/24/2016","Blink Moto Nj","BLINK MOTO #626 888-566-4223 NJ","21.40","debit","Gym","Rewards Card","",""
"3/23/2016","Costco","COSTCO WHSE #0 03/23 #000011497 PURCHASE COSTCO WHSE #0244 EAST HANOVER NJ","59.21","debit","Groceries","Kalpan Checking","",""
"3/23/2016","BOFA Savings","KEEP THE CHANGE TRANSFER TO ACCT 2431 FOR 03/23/16","0.79","debit","Transfer","Kalpan Checking","",""
"3/23/2016","People PC","WITHDRAW 03/23/2016 P2P Payment To: KALPAN BHATT, DCU PEOPLE PAY 220 DONAL LYNC","500.00","debit","Transfer","DCU Checking","",""
"3/23/2016","People PC","WITHDRAW 03/23/2016 P2P Payment To: KALPAN BHATT, DCU PEOPLE PAY 220 DONAL LYNC","499.00","debit","Transfer","DCU Checking","",""
"3/22/2016","Subzi, Mandi Cash & Carry","SUBZI MANDI CASH & CARRY PARSIPPANY NJ","69.99","debit","Groceries","Rewards Card","",""
"3/22/2016","Bollywood Grill Lake","BOLLYWOOD GRILL LAKE HIWATHA NJ","38.48","debit","Restaurants","Rewards Card","",""
"3/21/2016","Papa","PAPA PANCHO EDISON NJ","7.44","debit","Entertainment","Rewards Card","",""
"3/21/2016","Fuel One","3440 FUEL ONE PARSIPPANY NJ","17.06","debit","Gas & Fuel","Rewards Card","",""
"3/21/2016","Urban Spice Iselin","URBAN SPICE ISELIN NJ","27.00","debit","Restaurants","Rewards Card","",""
"3/21/2016","Stop & Shop","STOP & SHOP 0893 MORRIS PLAINSNJ","48.52","debit","Groceries","Rewards Card","",""
"3/21/2016","Saravanaa Bhavan","SARAVANAA BHAVAN WEST WINDSOR NJ","47.00","debit","Restaurants","Rewards Card","",""
"3/21/2016","ATM Withdrawal","BKOFAMERICA ATM 03/21 #000009898 WITHDRWL PARSIPPANY PARSIPPANY NJ","20.00","debit","Cash & ATM","Kalpan Checking","",""
"3/19/2016","Dri Avast Software","DRI*AVAST SOFTWARE 952-908-4089 MN","37.44","credit","Electronics & Software","Rewards Card","",""
"3/18/2016","Verizon Wireless","VZWRLSS*APOCC VISN 800-922-0204 CA","163.29","debit","Mobile Phone","Rewards Card","",""
"3/17/2016","Optimum","OPTIMUM #7876 973-398-5757 NY","61.65","debit","Internet","Rewards Card","",""
"3/17/2016","Credit Card Payment","Chase Credit Cards Bill Payment","107.50","debit","Credit Card Payment","Kalpan Checking","",""
"3/17/2016","Transfer from BOA Checking - Kalpan","Payment Thank You Bill Pa","107.50","credit","Credit Card Payment","Freedom Card","",""
"3/16/2016","Transfer from BOA Checking - Kalpan","PAYMENT","2310.24","credit","Credit Card Payment","Rewards Card","",""
"3/16/2016","Digital Federal Des","DIGITAL FEDERAL DES:PEOPLE PAY ID:K BHATT INDN:KALPAN BHATT CO ID:M391165550 WEB","500.00","credit","Transfer","Kalpan Checking","",""
"3/16/2016","Digital Federal Des","DIGITAL FEDERAL DES:PEOPLE PAY ID:K BHATT INDN:KALPAN BHATT CO ID:M391165550 WEB","499.00","credit","Transfer","Kalpan Checking","",""
"3/16/2016","Transfer to BOA Cash Rewards","Bank of America Credit Card Bill Payment","2310.24","debit","Credit Card Payment","Kalpan Checking","",""
"3/16/2016","DCU Auto loan","TRANSFER TO LOAN 141 MOBILE BANKING TRANSFER:635937211855350596","160.50","debit","Auto Payment","DCU Checking","",""
"3/15/2016","Bollywood Grill Lake","BOLLYWOOD GRILL LAKE HIWATHA NJ","49.69","debit","Restaurants","Rewards Card","",""
"3/15/2016","Cognizant Techno Des","COGNIZANT TECHNO DES:DIRECT DEP ID:XXXXX0232569CTS INDN:BHATT,KALPAN K...","1716.77","credit","Paycheck","Kalpan Checking","",""
"3/15/2016","Cognizant Techno Des","COGNIZANT TECHNO DES:DIRECT DEP ID:XXXXX3440095CTS INDN:BHATT,KALPAN K...","1778.92","credit","Paycheck","Kalpan Checking","",""
"3/15/2016","Remote Online Deposit","REMOTE ONLINE DEPOSIT #1","0.75","credit","Income","Kalpan Checking","",""
"3/15/2016","People PC","WITHDRAW 03/15/2016 P2P Payment To: KALPAN BHATT, DCU PEOPLE PAY 220 DONAL LYNC","500.00","debit","Transfer","DCU Checking","",""
"3/15/2016","People PC","WITHDRAW 03/15/2016 P2P Payment To: KALPAN BHATT, DCU PEOPLE PAY 220 DONAL LYNC","499.00","debit","Transfer","DCU Checking","",""
"3/15/2016","Deposit Cognizant Technodirect","DEPOSIT COGNIZANT TECHNODIRECT DEP160315","1000.00","credit","Paycheck","DCU Checking","",""
"3/14/2016","Transfer from BOA_Checking","KEEPTHECHANGE CREDIT FROM ACCT7360 EFFECTIVE 03/11","0.55","credit","Savings transfer","Kalpan Savings","",""
"3/14/2016","Deposit Cognizant Technodirect","DEPOSIT COGNIZANT TECHNODIRECT DEP160315","1000.00","credit","Paycheck","DCU Checking","",""
"3/12/2016","Chili's","CHILI'S E. HANOVER EAST HANOVER NJ","85.00","debit","Restaurants","Rewards Card","",""
"3/11/2016","Subzi, Mandi Cash & Carry","SUBZI MANDI CASH & CARRY PARSIPPANY NJ","13.26","debit","Groceries","Rewards Card","",""
"3/11/2016","Costco","COSTCO WHSE #0 03/11 #000546665 PURCHASE COSTCO WHSE #0244 EAST HANOVER NJ","73.45","debit","Groceries","Kalpan Checking","",""
"3/11/2016","BOFA Savings","KEEP THE CHANGE TRANSFER TO ACCT 2431 FOR 03/11/16","0.55","debit","Transfer","Kalpan Checking","",""
"3/08/2016","DIAL91.COM","DIAL91.COM 888-5017488 FL","10.50","debit","Business Services","Rewards Card","",""
"3/07/2016","Brio Freehold","BRIO FREEHOLD FREEHOLD NJ","47.00","debit","Restaurants","Rewards Card","",""
"3/07/2016","Intervale Gardens Rent","Check 154","1000.00","debit","Mortgage & Rent","Kalpan Checking","",""
"3/07/2016","BP","BP#2147858METROPARK FUEL","15.69","debit","Gas & Fuel","Freedom Card","",""
"3/05/2016","USPS","USPS 33639002833105222 PARSIPPANY NJ","0.49","debit","Shipping","Rewards Card","",""
"3/05/2016","Nanking Jersey City","NANKING-JERSEY CITY JERSEY CITY NJ","100.00","debit","Restaurants","Rewards Card","",""
"3/05/2016","Stop & Shop","STOP & SHOP 0893 MORRIS PLAINSNJ","7.75","debit","Groceries","Rewards Card","",""
"3/02/2016","Netflix","NETFLIX.COM NETFLIX.COM CA","7.99","debit","Movies & DVDs","Rewards Card","",""
"3/02/2016","Macy's","MACYS DES:ONLINE PMT ID:XXXXX9133131526 INDN:KALPAN BHATT CO ID:CITICTP WEB","21.39","debit","Credit Card Payment","Kalpan Checking","",""
"3/02/2016","Dri Avast Software","DRI*AVAST SOFTWARE 952-908-4089 MN","37.44","debit","Electronics & Software","Rewards Card","",""
"3/01/2016","Subzi, Mandi Cash &amp; Carry","SUBZI MANDI CASH & CARRY PARSIPPANY NJ","57.31","debit","Groceries","Rewards Card","",""
"3/01/2016","Geico","GEICO *AUTO 800-841-3000 DC","122.72","debit","Auto Insurance","Rewards Card","",""
"3/01/2016","First Energy Corp.","EGS*FIRST ENERGY CORP 800-794-1630 PA","48.78","debit","Utilities","Rewards Card","",""
"3/01/2016","Bkofamerica ATM Deposit","BKOFAMERICA ATM 03/01 #000003352 DEPOSIT PARSIPPANY PARSIPPANY NJ","140.00","credit","Income","Kalpan Checking","",""
"3/01/2016","Transfer from BOA_Checking","KEEPTHECHANGE CREDIT FROM ACCT7360 EFFECTIVE 02/29","0.56","credit","Savings transfer","Kalpan Savings","",""
"3/01/2016","Travelers Insurance","TRAVELERS PERS INS","16.00","debit","Home Insurance","Freedom Card","",""
"3/01/2016","Fuel One","3440 FUEL ONE","16.08","debit","Gas & Fuel","Freedom Card","",""
"3/01/2016","Thank You","PAYMENT - THANK YOU","21.39","credit","Credit Card Payment","XXXX-XXXX-XXXX-1578","",""
"3/01/2016","Costco","COSTCO WHSE #0 02/29 #000824803 PURCHASE COSTCO WHSE #0244 EAST HANOVER NJ","162.44","debit","Groceries","Kalpan Checking","",""
"2/29/2016","Cognizant Techno Des","COGNIZANT TECHNO DES:DIRECT DEP ID:XXXXX4507171CTS INDN:BHATT,KALPAN K...","1716.80","credit","Paycheck","Kalpan Checking","",""
"2/29/2016","Keep Change Transfer","KEEP THE CHANGE TRANSFER TO ACCT 2431 FOR 02/29/16","0.56","debit","Transfer","Kalpan Checking","",""
"2/29/2016","Dunkin Donuts","DUNKIN #302326 Q35 LEDGEWOOD NJ NJ","8.10","debit","Coffee Shops","Rewards Card","",""
"2/29/2016","Chipotle","CHIPOTLE 2394 PARSIPPANY NJ","29.25","debit","Restaurants","Rewards Card","",""
"2/29/2016","Swadisht Restaurant","SWADISHT RESTAURANT EDISON NJ","33.53","debit","Restaurants","Rewards Card","",""
"2/29/2016","Dividend","DIVIDEND","0.01","credit","Investments","DCU Savings","",""
"2/29/2016","Deposit Cognizant Technodirect","DEPOSIT COGNIZANT TECHNODIRECT DEP160229","1000.00","credit","Paycheck","DCU Checking","",""
"2/27/2016","Boa Adj Efs","BOA ADJ/EFS TEC C_FEES","199.00","credit","Credit Card Payment","Rewards Card","",""
"2/26/2016","Starbucks","STARBUCKS #13926 DENVILLEDenville NJ","4.01","debit","Coffee Shops","Rewards Card","",""
"2/25/2016","Cheesecake Factory","CHEESECAKE WILLOWBROOK WAYNE NJ","145.00","debit","Restaurants","Rewards Card","",""
"2/24/2016","Blink Moto Nj","BLINK MOTO #626 888-566-4223 NJ","21.40","debit","Gym","Rewards Card","",""
"2/24/2016","Carlo's Bakery","CARLO`S BAKERY MORRIST 201-448-4800 NJ","29.66","debit","Restaurants","Rewards Card","",""
"2/24/2016","Stop & Shop","STOP & SHOP 0893 MORRIS PLAINSNJ","26.74","debit","Groceries","Rewards Card","",""
"2/23/2016","Taco Bell","TACO BELL #28939 PARSIPPANY NJ","11.60","debit","Fast Food","Rewards Card","",""
"2/23/2016","E-ZPass","NEW JERSEY E-ZPASS 888-288-6865 NJ","25.00","debit","Toll Fees","Rewards Card","",""
"2/22/2016","Mediterranean","FASIL MEDITERRANEAN RE BOONTON NJ","95.00","debit","Fast Food","Rewards Card","",""
"2/22/2016","Shop Rite","SHOPRITE PARSIPPANY S1 PARSIPPANY NJ","40.63","debit","Groceries","Rewards Card","",""
"2/22/2016","AMC","AMC WAYNE 14 #2176 WAYNE NJ","13.36","debit","Movies & DVDs","Rewards Card","",""
"2/22/2016","AMC","AMC WAYNE 14 #2176 WAYNE NJ","30.14","debit","Movies & DVDs","Rewards Card","",""
"2/22/2016","Fuel One","3440 FUEL ONE","15.65","debit","Gas & Fuel","Freedom Card","",""
"2/22/2016","Shop Rite","SHOPRITE PARSIPPANY S1","26.39","debit","Groceries","Freedom Card","",""
"2/19/2016","Valuestax Ca","PAYPAL *VALUESTAX 402-935-7733 CA","38.00","debit","Financial Advisor","Rewards Card","",""
"2/18/2016","Verizon Wireless","VZWRLSS*APOCC VISN 800-922-0204 CA","163.59","debit","Mobile Phone","Rewards Card","",""
"2/18/2016","Payment","PAYMENT","2740.40","credit","Credit Card Payment","Rewards Card","",""
"2/18/2016","Transfer to BankAmericard Platinum Plus Visa","Bank of America Credit Card Bill Payment","38.30","debit","Credit Card Payment","Kalpan Checking","",""
"2/18/2016","Credit Card Payment","Bank of America Credit Card Bill Payment","2740.40","debit","Credit Card Payment","Kalpan Checking","",""
"2/17/2016","New York & Company","NEW YORK & COMPANY #0585 ROCKAWAY NJ","96.46","debit","Clothing","Rewards Card","",""
"2/17/2016","Optimum","OPTIMUM #7876 973-398-5757 NY","109.10","debit","Internet","Rewards Card","",""
"2/17/2016","Transfer to Chase Credit","Chase Credit Cards Bill Payment","369.75","debit","Credit Card Payment","Kalpan Checking","",""
"2/17/2016","Digital Federal Des","DIGITAL FEDERAL DES:PEOPLE PAY ID:K BHATT INDN:KALPAN BHATT CO ID:M391165550 WEB","500.00","credit","Transfer","Kalpan Checking","",""
"2/17/2016","Digital Federal Des","DIGITAL FEDERAL DES:PEOPLE PAY ID:K BHATT INDN:KALPAN BHATT CO ID:M391165550 WEB","499.00","credit","Transfer","Kalpan Checking","",""
"2/17/2016","Transfer from BOA Checking - Kalpan","KEEPTHECHANGE CREDIT FROM ACCT7360 EFFECTIVE 02/16","0.48","credit","Savings transfer","Kalpan Savings","",""
"2/17/2016","Transfer from BOA Checking - Kalpan","Payment Thank You Bill Pa","369.75","credit","Credit Card Payment","Freedom Card","",""
"2/16/2016","H&M","H&M #151@ROCKAWAY ROCKAWAY NJ","17.99","debit","Clothing","Rewards Card","",""
"2/16/2016","Forever 21","0386 FOREVER 21 ROCKAWAY NJ","22.65","debit","Clothing","Rewards Card","",""
"2/16/2016","BOFA Savings","KEEP THE CHANGE TRANSFER TO ACCT 2431 FOR 02/16/16","0.48","debit","Transfer","Kalpan Checking","",""
"2/16/2016","Costco","COSTCO WHSE #0 02/16 #000417580 PURCHASE COSTCO WHSE #0244 EAST HANOVER NJ","34.52","debit","Groceries","Kalpan Checking","",""
"2/16/2016","People PC","WITHDRAW 02/16/2016 P2P Payment To: PBW9JJN3 A2A TO KALPAN BHATT, DCU PEOPLE PA","500.00","debit","Transfer","DCU Checking","",""
"2/16/2016","People PC","WITHDRAW 02/16/2016 P2P Payment To: TB39ZJN3 A2A TO KALPAN BHATT, DCU PEOPLE PA","499.00","debit","Transfer","DCU Checking","",""
"2/16/2016","DCU Auto loan","TRANSFER TO LOAN 141 MOBILE BANKING TRANSFER:635912149563446395","160.50","debit","Auto Payment","DCU Checking","",""
"2/15/2016","Olive Garden","OLIVE GARDEN 00016386 ROCKAWAY NJ","70.25","debit","Restaurants","Rewards Card","",""
"2/15/2016","Chipotle","CHIPOTLE 2394 PARSIPPANY NJ","7.50","debit","Restaurants","Rewards Card","",""
"2/15/2016","Chipotle","CHIPOTLE 2394 PARSIPPANY NJ","3.75","debit","Restaurants","Rewards Card","",""
"2/15/2016","Subzi, Mandi Cash & Carry","SUBZI MANDI CASH & CARRY PARSIPPANY NJ","85.95","debit","Groceries","Rewards Card","",""
"2/15/2016","Macy's","ROCKAWAY TN SQ Rockaway TownNJ","21.39","debit","Clothing","XXXX-XXXX-XXXX-1578","",""
"2/12/2016","Digital Federal Des","DIGITAL FEDERAL DES:PEOPLE PAY ID:K BHATT INDN:KALPAN BHATT CO ID:M391165550 WEB","499.00","credit","Transfer","Kalpan Checking","",""
"2/12/2016","Digital Federal Des","DIGITAL FEDERAL DES:PEOPLE PAY ID:K BHATT INDN:KALPAN BHATT CO ID:M391165550 WEB","500.00","credit","Transfer","Kalpan Checking","",""
"2/12/2016","Cognizant Techno Des","COGNIZANT TECHNO DES:DIRECT DEP ID:XXXXX2870754CTS INDN:BHATT,KALPAN K...","1716.78","credit","Paycheck","Kalpan Checking","",""
"2/11/2016","Transfer to BOA Checking - Kalpan","WITHDRAW 02/11/2016 P2P Payment To: 1BY9QJ42 A2A TO KALPAN BHATT, DCU PEOPLE PA","499.00","debit","Transfer","DCU Checking","",""
"2/11/2016","Transfer to BOA Checking - Kalpan","WITHDRAW 02/11/2016 P2P Payment To: TBQ9TJ42 A2A TO KALPAN BHATT, DCU PEOPLE PA","500.00","debit","Transfer","DCU Checking","",""
"2/11/2016","Deposit Cognizant Technodirect","DEPOSIT COGNIZANT TECHNODIRECT DEP160212","1000.00","credit","Paycheck","DCU Checking","",""
"2/10/2016","Digital Federal Des","DIGITAL FEDERAL DES:PEOPLE PAY ID:K BHATT INDN:KALPAN BHATT CO ID:M391165550 WEB","499.00","credit","Transfer","Kalpan Checking","",""
"2/10/2016","Digital Federal Des","DIGITAL FEDERAL DES:PEOPLE PAY ID:K BHATT INDN:KALPAN BHATT CO ID:M391165550 WEB","500.00","credit","Transfer","Kalpan Checking","",""
"2/09/2016","AMC","AMC HEADQUARTERS 10 #0063MORRISTOWN NJ","59.55","debit","Movies & DVDs","Rewards Card","",""
"2/09/2016","Junoon","Junoon NEW YORK NY","270.90","debit","Restaurants","Rewards Card","",""
"2/09/2016","People PC","WITHDRAW 02/09/2016 P2P Payment To: WB69RJAR A2A TO KALPAN BHATT, DCU PEOPLE PA","499.00","debit","Transfer","DCU Checking","",""
"2/09/2016","People PC","WITHDRAW 02/09/2016 P2P Payment To: 1BS91JAR A2A TO KALPAN BHATT, DCU PEOPLE PA","500.00","debit","Transfer","DCU Checking","",""
"2/08/2016","Wal-Mart","WAL-MART #5077 BOONTON NJ","63.96","debit","Shopping","Rewards Card","",""
"2/08/2016","Lemongrass","LEMONGRASS VIET-THAI RESTMORRIS PLAINSNJ","50.00","debit","Restaurants","Rewards Card","",""
"2/08/2016","Stop & Shop","STOP & SHOP 0893 MORRIS PLAINSNJ","15.99","debit","Groceries","Rewards Card","",""
"2/08/2016","Transfer from BOA_Checking","KEEPTHECHANGE CREDIT FROM ACCT7360 EFFECTIVE 02/05","0.03","credit","Savings transfer","Kalpan Savings","",""
"2/08/2016","Lukoil","LUKOIL 57298","14.38","debit","Gas & Fuel","Freedom Card","",""
"2/06/2016","Hrcp, Lc","HRCP LC 801-343-3699 UT","360.95","debit","Books & Supplies","Rewards Card","",""
"2/05/2016","USPS","USPS 33639002833105222 PARSIPPANY NJ","0.49","debit","Shipping","Rewards Card","",""
"2/05/2016","BOFA Savings","KEEP THE CHANGE TRANSFER TO ACCT 2431 FOR 02/05/16","0.03","debit","Transfer","Kalpan Checking","",""
"2/05/2016","Intervale Gardens Rent","Check 147","1000.00","debit","Mortgage & Rent","Kalpan Checking","",""
"2/05/2016","Costco","COSTCO WHSE #1 02/05 #000598120 PURCHASE COSTCO WHSE #1177 WAYNE NJ","112.97","debit","Groceries","Kalpan Checking","",""
"2/02/2016","Netflix","NETFLIX.COM 866-579-7172 CA","7.99","debit","Movies & DVDs","Rewards Card","",""
"2/02/2016","First Energy Corp.","EGS*FIRST ENERGY CORP 800-794-1630 PA","32.23","debit","Utilities","Rewards Card","",""
"2/02/2016","Transfer from BOA Checking - Kalpan","KEEPTHECHANGE CREDIT FROM ACCT7360 EFFECTIVE 02/01","0.38","credit","Savings transfer","Kalpan Savings","",""
"2/02/2016","Exxon","EXXONMOBIL    47967690","15.93","debit","Gas & Fuel","Freedom Card","",""
"2/01/2016","Ganeshs Dosa House","SRIGANESHSDOSAHOUSE PARSIPPANY NJ","24.61","debit","Restaurants","Rewards Card","",""
"2/01/2016","Babies ""R"" Us","BABIES R US #6503 EAST HANOVER NJ","21.39","debit","Kids","Rewards Card","",""
"2/01/2016","Rhong Tiam","RHONG TIAM PLAINSBORO NJ","53.68","debit","Restaurants","Rewards Card","",""
"2/01/2016","Subzi, Mandi Cash & Carry","SUBZI MANDI CASH & CARRY PARSIPPANY NJ","58.64","debit","Groceries","Rewards Card","",""
"2/01/2016","Urban Spice Iselin","URBAN SPICE ISELIN NJ","50.63","debit","Restaurants","Rewards Card","",""
"2/01/2016","Geico","GEICO *AUTO 800-841-3000 DC","107.65","debit","Auto Insurance","Rewards Card","",""
"2/01/2016","BOFA Savings","KEEP THE CHANGE TRANSFER TO ACCT 2431 FOR 02/01/16","0.38","debit","Transfer","Kalpan Checking","",""
"2/01/2016","Costco","COSTCO WHSE #0 01/30 #000529165 PURCHASE COSTCO WHSE #0244 EAST HANOVER NJ","89.62","debit","Groceries","Kalpan Checking","",""
"1/31/2016","Dividend","DIVIDEND","0.01","credit","Investments","DCU Savings","",""
"1/29/2016","Federal Express","FEDEX 782247011000 MEMPHIS TN","13.86","debit","Shipping","Rewards Card","",""
"1/29/2016","Cognizant Techno Des","COGNIZANT TECHNO DES:DIRECT DEP ID:XXXXX5156564CTS INDN:BHATT,KALPAN K...","1716.79","credit","Paycheck","Kalpan Checking","",""
"1/29/2016","Travelers Insurance","TRAVELERS PERS INS","16.00","debit","Home Insurance","Freedom Card","",""
"1/28/2016","Deposit Cognizant Technodirect","DEPOSIT COGNIZANT TECHNODIRECT DEP160129","1000.00","credit","Paycheck","DCU Checking","",""
"1/27/2016","Chipotle","CHIPOTLE 2394 PARSIPPANY NJ","22.50","debit","Restaurants","Rewards Card","",""
"1/27/2016","Transfer from BOA_Checking","KEEPTHECHANGE CREDIT FROM ACCT7360 EFFECTIVE 01/26","0.22","credit","Savings transfer","Kalpan Savings","",""
"1/26/2016","BOFA Savings","KEEP THE CHANGE TRANSFER TO ACCT 2431 FOR 01/26/16","0.22","debit","Transfer","Kalpan Checking","",""
"1/26/2016","Costco","COSTCO WHSE #0 01/26 #000038302 PURCHASE COSTCO WHSE #0244 EAST HANOVER NJ","4.78","debit","Groceries","Kalpan Checking","",""
"1/25/2016","Blink Moto Nj","BLINK MOTO #626 888-566-4223 NJ","21.40","debit","Gym","Rewards Card","",""
"1/25/2016","Harvard Continuing Edu","HARVARD CONTINUING ED 617-495-4293 MA","2450.00","debit","Tuition","Rewards Card","Harvard Fees",""
"1/24/2016","Fuel One","3440 FUEL ONE","19.15","debit","Gas & Fuel","Freedom Card","",""
